종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"101060","SBS미디어홀딩스","KOSPI","서비스업","2125","0","0.00","297279403750"
"005090","SGC에너지","KOSPI","전기가스업","47700","-1050","-2.15","700093090800"
"001380","SG글로벌","KOSPI","운수장비","2280","-30","-1.30","102518246040"
"004060","SG세계물산","KOSPI","유통업","711","-3","-0.42","143924146560"
"001770","SHD","KOSPI","철강금속","29900","400","1.36","36324852200"
"002360","SH에너지화학","KOSPI","화학","1095","25","2.34","121691434350"
"009160","SIMPAC","KOSPI","기계","8020","-30","-0.37","524744718320"
"123700","SJM","KOSPI","운수장비","4945","-75","-1.49","77166220610"
"025530","SJM홀딩스","KOSPI","유통업","3855","-60","-1.53","57570600840"
"034730","SK","KOSPI","기타금융","252500","-3500","-1.37","17765974992500"
"011790","SKC","KOSPI","화학","175000","-1000","-0.57","6626952150000"
"018670","SK가스","KOSPI","유통업","139000","-5000","-3.47","1283003916000"
"001740","SK네트웍스","KOSPI","유통업","5210","-70","-1.33","1293057640870"
"001745","SK네트웍스우","KOSPI","유통업","90200","1500","1.69","10251049600"
"006120","SK디스커버리","KOSPI","기타금융","48800","-500","-1.01","929047324000"
"006125","SK디스커버리우","KOSPI","기타금융","39750","-100","-0.25","53998586250"
"210980","SK디앤디","KOSPI","서비스업","31350","-700","-2.18","695661641400"
"068400","SK렌터카","KOSPI","서비스업","12200","50","0.41","576887248000"
"395400","SK리츠","KOSPI","서비스업","6470","-30","-0.46","1002982842040"
"302440","SK바이오사이언스","KOSPI","의약품","229000","2000","0.88","17518500000000"
"326030","SK바이오팜","KOSPI","서비스업","99100","-1400","-1.39","7760843075000"
"361610","SK아이이테크놀로지","KOSPI","전기전자","178000","-2500","-1.39","12690971376000"
"03473K","SK우","KOSPI","기타금융","228000","2000","0.88","129078780000"
"096770","SK이노베이션","KOSPI","화학","251000","-6000","-2.33","23208856564000"
"096775","SK이노베이션우","KOSPI","화학","151000","-2000","-1.31","188512326000"
"001510","SK증권","KOSPI","증권","1005","5","0.50","474953121855"
"001515","SK증권우","KOSPI","증권","4310","-40","-0.92","16862935340"
"285130","SK케미칼","KOSPI","화학","187000","-1500","-0.80","2197511052000"
"28513K","SK케미칼우","KOSPI","화학","113000","-500","-0.44","164829710000"
"017670","SK텔레콤","KOSPI","통신업","309500","0","0.00","22302614258500"
"000660","SK하이닉스","KOSPI","전기전자","101500","-500","-0.49","73892240047500"
"064960","SNT모티브","KOSPI","운수장비","52800","-400","-0.75","772101580800"
"100840","SNT에너지","KOSPI","기계","23300","-100","-0.43","174906366300"
"003570","SNT중공업","KOSPI","운수장비","9400","-160","-1.67","312575351800"
"036530","SNT홀딩스","KOSPI","기타금융","18100","-350","-1.90","295100336600"
"005610","SPC삼립","KOSPI","음식료품","78100","-900","-1.14","673925602900"
"011810","STX","KOSPI","유통업","4340","60","1.40","124217110360"
"077970","STX엔진","KOSPI","기계","12100","1500","14.15","278407738400"
"071970","STX중공업","KOSPI","기계","5530","290","5.53","156863847280"
"002820","SUN&L","KOSPI","종이목재","5680","40","0.71","71613377520"
"084870","TBH글로벌","KOSPI","섬유의복","2850","-5","-0.18","59441934150"
"002710","TCC스틸","KOSPI","철강금속","8540","-110","-1.27","200690000000"
"002900","TYM","KOSPI","기계","2070","-30","-1.43","310178303370"
"024070","WISCOM","KOSPI","화학","3970","-30","-0.75","60845958860"
"037270","YG PLUS","KOSPI","서비스업","8060","110","1.38","511241044600"
"000500","가온전선","KOSPI","전기전자","28450","-350","-1.22","118361872150"
"000860","강남제비스코","KOSPI","화학","25200","-150","-0.59","163800000000"
"035250","강원랜드","KOSPI","서비스업","28450","-450","-1.56","6086607225000"
"011420","갤럭시아에스엠","KOSPI","서비스업","2460","60","2.50","67772124240"
"002100","경농","KOSPI","화학","13500","-200","-1.46","263554762500"
"009450","경동나비엔","KOSPI","전기전자","66300","-200","-0.30","965897649600"
"267290","경동도시가스","KOSPI","전기가스업","24300","-100","-0.41","143258365800"
"012320","경동인베스트","KOSPI","기타금융","37150","-500","-1.33","87860604450"
"000050","경방","KOSPI","유통업","13300","-50","-0.37","364623091000"
"214390","경보제약","KOSPI","의약품","10450","-50","-0.48","249826687000"
"012610","경인양행","KOSPI","화학","7230","-150","-2.03","300380218950"
"009140","경인전자","KOSPI","전기전자","27600","-200","-0.72","43353997200"
"013580","계룡건설","KOSPI","건설업","36250","-400","-1.09","323745378750"
"012200","계양전기","KOSPI","기계","4640","-65","-1.38","151264000000"
"012205","계양전기우","KOSPI","기계","7190","-60","-0.83","10066000000"
"002140","고려산업","KOSPI","음식료품","3460","30","0.87","86290410500"
