,종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액,EPS,PER,BPS,PBR,주당배당금,배당수익률
188,020560,아시아나항공,KOSPI,운수창고업,4210,0,0.0,939820587740,,,3552.0,1.19,0,0.0
189,079160,CJ CGV,KOSPI,서비스업,26150,300,1.16,917865000000,,,11590.0,2.26,0,0.0
190,210980,SK디앤디,KOSPI,서비스업,48250,-1000,-2.03,916275413000,2365.0,20.4,19032.0,2.54,600,1.24
191,006040,동원산업,KOSPI,"농업, 임업 및 어업",248500,9500,3.97,913893788500,12635.0,19.67,282744.0,0.88,2000,0.8
192,005850,에스엘,KOSPI,운수장비,18800,2500,15.34,906221607600,1979.0,9.5,28224.0,0.67,400,2.13
193,042700,한미반도체,KOSPI,기계,17500,0,0.0,901276267500,383.0,45.69,3839.0,4.56,100,0.57
194,000150,두산,KOSPI,서비스업,53800,400,0.75,888982323000,21900.0,2.46,72969.0,0.74,5200,9.67
195,005440,현대그린푸드,KOSPI,유통업,9070,330,3.78,886179651740,628.0,14.44,17576.0,0.52,210,2.32
196,001230,동국제강,KOSPI,철강금속,9270,130,1.42,884661471990,,,19382.0,0.48,0,0.0
197,271980,제일약품,KOSPI,의약품,59700,-1800,-2.93,877880858400,,,11564.0,5.16,70,0.12
198,103140,풍산,KOSPI,철강금속,31250,350,1.13,875758687500,629.0,49.68,49306.0,0.63,400,1.28
199,005880,대한해운,KOSPI,운수창고업,3555,-140,-3.79,868383724950,374.0,9.51,3394.0,1.05,0,0.0
200,284740,쿠쿠홈시스,KOSPI,서비스업,38600,150,0.39,866080938000,2892.0,13.35,19326.0,2.0,560,1.45
201,064960,S&T모티브,KOSPI,운수장비,59200,5800,10.86,865689651200,181.0,327.07,50329.0,1.18,1400,2.36
202,001800,오리온홀딩스,KOSPI,기타금융,13400,200,1.52,839448654800,804.0,16.67,30747.0,0.44,650,4.85
203,001880,대림건설,KOSPI,건설업,36600,100,0.27,807150194400,6265.0,5.84,30161.0,1.21,400,1.09
204,192650,드림텍,KOSPI,전기전자,12200,450,3.83,803528417000,417.0,29.26,3575.0,3.41,160,1.31
205,241590,화승엔터프라이즈,KOSPI,기타제조업,13250,-250,-1.85,802110877500,1031.0,12.85,5759.0,2.3,45,0.34
206,039130,하나투어,KOSPI,서비스업,57100,-300,-0.52,795927463500,,,15562.0,3.67,1000,1.75
207,071840,롯데하이마트,KOSPI,유통업,33550,550,1.67,792038737600,,,81410.0,0.41,1000,2.98
208,003230,삼양식품,KOSPI,음식료품,102000,0,0.0,768367530000,7906.0,12.9,37661.0,2.71,800,0.78
209,020000,한섬,KOSPI,섬유의복,31050,-250,-0.8,764761500000,3881.0,8.0,42450.0,0.73,450,1.45
210,267270,현대건설기계,KOSPI,기계,38500,300,0.79,758480530500,169.0,227.81,61453.0,0.63,0,0.0
211,170900,동아에스티,KOSPI,의약품,88800,-1100,-1.22,749815478400,8404.0,10.57,76488.0,1.16,1000,1.13
212,001820,삼화콘덴서,KOSPI,전기전자,71800,4300,6.37,746361000000,2889.0,24.85,14698.0,4.89,250,0.35
213,000640,동아쏘시오홀딩스,KOSPI,기타금융,121000,-2500,-2.02,744796745000,3220.0,37.58,121392.0,1.0,1000,0.83
214,300720,한일시멘트,KOSPI,비금속광물,107500,-500,-0.46,744561555000,9772.0,11.0,214009.0,0.5,4700,4.37
215,001060,JW중외제약,KOSPI,의약품,35250,-350,-0.98,737431903500,,,10059.0,3.5,325,0.92
216,081000,일진다이아,KOSPI,화학,51700,-600,-1.15,734293807500,914.0,56.56,12656.0,4.09,300,0.58
217,272450,진에어,KOSPI,운수창고업,16250,-400,-2.4,731250000000,,,5750.0,2.83,0,0.0
218,002320,한진,KOSPI,운수창고업,48850,-850,-1.71,730191627800,,,72343.0,0.68,500,1.02
219,025540,한국단자,KOSPI,전기전자,70000,7000,11.11,729050000000,3062.0,22.86,68181.0,1.03,700,1.0
220,085620,미래에셋생명,KOSPI,보험,4100,-75,-1.8,725766374900,682.0,6.01,11792.0,0.35,170,4.15
221,298050,효성첨단소재,KOSPI,화학,162000,2000,1.25,725751576000,,,72195.0,2.24,0,0.0
222,108670,LG하우시스,KOSPI,화학,80800,100,0.12,724587736000,1154.0,70.02,91420.0,0.88,250,0.31
223,009450,경동나비엔,KOSPI,전기전자,53200,100,0.19,723771636000,2207.0,24.11,23612.0,2.25,300,0.56
224,049770,동원F&B,KOSPI,음식료품,186500,2500,1.36,719726626000,17015.0,10.96,176519.0,1.06,3000,1.61
225,267260,현대일렉트릭,KOSPI,전기전자,19950,650,3.37,719140343250,,,19418.0,1.03,0,0.0
226,011930,신성이엔지,KOSPI,전기전자,3570,15,0.42,717609380670,15.0,238.0,704.0,5.07,0,0.0
227,001360,삼성제약,KOSPI,의약품,11650,-100,-0.85,717054156450,118.0,98.73,2421.0,4.81,0,0.0
228,089590,제주항공,KOSPI,운수창고업,18350,0,0.0,706467935250,,,11248.0,1.63,0,0.0
229,034310,NICE,KOSPI,서비스업,18550,200,1.09,702716665000,771.0,24.06,18100.0,1.02,230,1.24
230,017810,풀무원,KOSPI,음식료품,18350,350,1.94,699511890650,56.0,327.68,9425.0,1.95,102,0.56
231,052690,한전기술,KOSPI,서비스업,18300,250,1.39,699426000000,694.0,26.37,12878.0,1.42,310,1.69
232,192400,쿠쿠홀딩스,KOSPI,기타금융,98300,1500,1.55,699152557100,12779.0,7.69,94719.0,1.04,3000,3.05
233,280360,롯데제과,KOSPI,음식료품,108000,1500,1.41,693005436000,5936.0,18.19,188501.0,0.57,1300,1.2
234,079550,LIG넥스원,KOSPI,기계,31200,1100,3.65,686400000000,145.0,215.17,28817.0,1.08,600,1.92
235,003470,유안타증권,KOSPI,증권,3430,0,0.0,684616255680,394.0,8.71,5947.0,0.58,0,0.0
236,033660,아주캐피탈,KOSPI,기타금융,11750,-150,-1.26,676164207500,1784.0,6.59,14145.0,0.83,650,5.53
237,012630,HDC,KOSPI,기타금융,11250,-150,-1.32,672094361250,4460.0,2.52,36131.0,0.31,200,1.78
238,002840,미원상사,KOSPI,화학,135000,-2500,-1.82,670950000000,6163.0,21.9,44134.0,3.06,654,0.48
239,000070,삼양홀딩스,KOSPI,기타금융,78300,-300,-0.38,670582419300,3987.0,19.64,160079.0,0.49,2000,2.55
240,082640,동양생명,KOSPI,보험,4150,-50,-1.19,669638127750,739.0,5.62,16121.0,0.26,230,5.54
241,003540,대신증권,KOSPI,증권,13150,0,0.0,667670210000,1310.0,10.04,22870.0,0.57,1000,7.6
242,298040,효성중공업,KOSPI,전기전자,71300,4200,6.26,664840272400,1411.0,50.53,97403.0,0.73,0,0.0
243,145990,삼양사,KOSPI,음식료품,64200,1200,1.9,662123425800,3375.0,19.02,104070.0,0.62,1000,1.56
244,018250,애경산업,KOSPI,화학,24950,0,0.0,658927878250,1581.0,15.78,12817.0,1.95,450,1.8
245,286940,롯데정보통신,KOSPI,서비스업,41600,-150,-0.36,640487369600,3720.0,11.18,25357.0,1.64,700,1.68
246,036420,제이콘텐트리,KOSPI,서비스업,39000,-1350,-3.35,639017769000,79.0,493.67,22129.0,1.76,0,0.0
247,005090,SGC에너지,KOSPI,전기가스업,43450,400,0.93,637715823800,,,56341.0,0.77,1000,2.3
248,105630,한세실업,KOSPI,섬유의복,15850,-350,-2.16,634000000000,,,9945.0,1.59,500,3.15
249,281820,케이씨텍,KOSPI,의료정밀,29900,-300,-0.99,623760524400,1859.0,16.08,14541.0,2.06,200,0.67
250,005610,SPC삼립,KOSPI,음식료품,71800,-700,-0.97,619562846200,2492.0,28.81,37411.0,1.92,1104,1.54
251,353200,대덕전자,KOSPI,전기전자,12500,450,3.73,617711562500,,,,,0,0.0
252,008730,율촌화학,KOSPI,화학,24900,-50,-0.2,617520000000,734.0,33.92,13790.0,1.81,500,2.01
253,001630,종근당홀딩스,KOSPI,의약품,122500,-5000,-3.92,613707972500,8988.0,13.63,93600.0,1.31,1300,1.06
