,종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
887,002810,삼영무역,14000,0,0.0,1987.0,7.05,19563.0,0.72,350,2.5
888,054540,삼영엠텍,5510,-50,-0.9,273.0,20.18,5964.0,0.92,100,1.81
889,065570,삼영이엔씨,7430,-10,-0.13,,,8544.0,0.87,0,0.0
890,005680,삼영전자,10650,450,4.41,428.0,24.88,24220.0,0.44,250,2.35
891,003720,삼영화학,3200,180,5.96,,,1285.0,2.49,0,0.0
892,023000,삼원강재,2610,45,1.75,261.0,10.0,5249.0,0.5,115,4.41
893,004380,삼익THK,11850,-250,-2.07,158.0,75.0,8969.0,1.32,150,1.27
894,002450,삼익악기,1450,-10,-0.68,163.0,8.9,2478.0,0.59,50,3.45
895,032280,삼일,2040,-10,-0.49,213.0,9.58,4001.0,0.51,50,2.45
896,002290,삼일기업공사,4335,-150,-3.34,265.0,16.36,4744.0,0.91,100,2.31
897,004440,삼일씨엔에스,10850,450,4.33,211.0,51.42,21895.0,0.5,38,0.35
898,000520,삼일제약,20750,-500,-2.35,129.0,160.85,9580.0,2.17,150,0.72
899,009770,삼정펄프,31250,700,2.29,1868.0,16.73,73851.0,0.42,0,0.0
900,037460,삼지전자,12700,250,2.01,892.0,14.24,12357.0,1.03,140,1.1
901,032750,삼진,11300,100,0.89,2019.0,5.6,12767.0,0.89,200,1.77
902,054090,삼진엘앤디,4465,350,8.51,24.0,186.04,3698.0,1.21,75,1.68
903,005500,삼진제약,27700,350,1.28,917.0,30.21,14207.0,1.95,800,2.89
904,000250,삼천당제약,75600,-2400,-3.08,488.0,154.92,7142.0,10.59,50,0.07
905,004690,삼천리,83500,600,0.72,10614.0,7.87,316716.0,0.26,3000,3.59
906,024950,삼천리자전거,8980,-20,-0.22,,,5991.0,1.5,0,0.0
907,038500,삼표시멘트,4010,-40,-0.99,173.0,23.18,5916.0,0.68,50,1.25
908,017480,삼현철강,4140,-80,-1.9,424.0,9.76,9497.0,0.44,150,3.62
909,010960,삼호개발,4295,-35,-0.81,907.0,4.74,7624.0,0.56,190,4.42
910,046390,삼화네트웍스,2150,-15,-0.69,18.0,119.44,811.0,2.65,0,0.0
911,004450,삼화왕관,38900,-300,-0.77,4547.0,8.56,67349.0,0.58,1350,3.47
