,종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
162,035250,강원랜드,KOSPI,서비스업,27850,-600,-2.11,5958242925000
163,011420,갤럭시아에스엠,KOSPI,서비스업,2340,-120,-4.88,64466166960
164,002100,경농,KOSPI,화학,13500,0,0.0,263554762500
165,009450,경동나비엔,KOSPI,전기전자,66000,-300,-0.45,961527072000
166,267290,경동도시가스,KOSPI,전기가스업,24000,-300,-1.23,141489744000
167,012320,경동인베스트,KOSPI,기타금융,36800,-350,-0.94,87032846400
168,000050,경방,KOSPI,유통업,13150,-150,-1.13,360510800500
169,214390,경보제약,KOSPI,의약품,10200,-250,-2.39,243849972000
170,012610,경인양행,KOSPI,화학,7120,-110,-1.52,295810118800
171,009140,경인전자,KOSPI,전기전자,28450,850,3.08,44689174650
172,013580,계룡건설,KOSPI,건설업,35700,-550,-1.52,318833379900
173,012200,계양전기,KOSPI,기계,4605,-35,-0.75,150123000000
174,012205,계양전기우,KOSPI,기계,7170,-20,-0.28,10038000000
175,002140,고려산업,KOSPI,음식료품,3445,-15,-0.43,85916319125
176,010130,고려아연,KOSPI,철강금속,532000,-28000,-5.0,10038840000000
177,002240,고려제강,KOSPI,철강금속,28000,650,2.38,644000000000
178,009290,광동제약,KOSPI,의약품,7870,0,0.0,412552097370
179,017040,광명전기,KOSPI,전기전자,3080,-50,-1.6,133479854200
180,017900,광전자,KOSPI,전기전자,3350,-5,-0.15,194111606050
181,037710,광주신세계,KOSPI,유통업,197500,-500,-0.25,316000000000
182,030610,교보증권,KOSPI,증권,8800,-60,-0.68,568949004800
183,339770,교촌에프앤비,KOSPI,유통업,17850,-300,-1.65,445938339000
184,007690,국도화학,KOSPI,화학,68300,-200,-0.29,615425072800
185,005320,국동,KOSPI,유통업,2530,-85,-3.25,137003388610
186,001140,국보,KOSPI,운수창고업,2210,-50,-2.21,134954845610
187,002720,국제약품,KOSPI,의약품,6100,-90,-1.45,117584149000
188,083420,그린케미칼,KOSPI,화학,10900,-300,-2.68,261600000000
189,014530,극동유화,KOSPI,화학,4360,-105,-2.35,152030671200
